"year","committee","pass","fail"
2015,"H-ACNR",10,2
2015,"H-R",3,0
2015,"H-CL",14,19
2015,"H-F",6,5
2015,"H-CCT",2,1
2015,"H-A",2,3
2015,"H-GL",0,1
2015,"S-R",4,5
2015,"S-CL",10,10
2015,"S-T",2,1
2015,"S-LG",2,1
2015,"S-F",8,1
2015,"S-ACNR",7,6
2015,"S-GLT",1,0
2015,"H-E",0,0
2015,"S-PE",0,0
2015,"H-T",1,0
2015,"S-EH",0,0
2015,"H-HWI",0,0
2015,"H-PE",0,0
2015,"S-CJ",0,0
2015,"H-CJ",0,0
2015,"S-FA",0,0
2015,"S-CE",0,0
2015,"H-PS",0,0
2015,"H-CTI",0,0
2015,"S-GL",0,0
2016,"H-ACNR",6,2
2016,"H-R",0,0
2016,"H-CL",12,15
2016,"H-F",6,6
2016,"H-CCT",3,1
2016,"H-A",0,2
2016,"H-GL",0,1
2016,"S-R",0,0
2016,"S-CL",9,9
2016,"S-T",1,0
2016,"S-LG",3,1
2016,"S-F",10,3
2016,"S-ACNR",7,5
2016,"S-GLT",0,1
2016,"H-E",0,1
2016,"S-PE",0,1
2016,"H-T",1,0
2016,"S-EH",0,0
2016,"H-HWI",0,0
2016,"H-PE",0,0
2016,"S-CJ",0,0
2016,"H-CJ",0,0
2016,"S-FA",0,0
2016,"S-CE",0,0
2016,"H-PS",0,0
2016,"H-CTI",0,0
2016,"S-GL",0,0
2017,"H-ACNR",11,8
2017,"H-R",0,2
2017,"H-CL",15,14
2017,"H-F",5,3
2017,"H-CCT",0,0
2017,"H-A",1,2
2017,"H-GL",5,1
2017,"S-R",0,1
2017,"S-CL",13,8
2017,"S-T",1,1
2017,"S-LG",0,0
2017,"S-F",7,5
2017,"S-ACNR",14,5
2017,"S-GLT",4,1
2017,"H-E",1,1
2017,"S-PE",0,0
2017,"H-T",1,1
2017,"S-EH",1,0
2017,"H-HWI",0,1
2017,"H-PE",0,0
2017,"S-CJ",0,0
2017,"H-CJ",0,1
2017,"S-FA",0,0
2017,"S-CE",0,0
2017,"H-PS",0,0
2017,"H-CTI",0,0
2017,"S-GL",0,0
2018,"H-ACNR",7,9
2018,"H-R",6,5
2018,"H-CL",6,27
2018,"H-F",3,3
2018,"H-CCT",5,1
2018,"H-A",3,2
2018,"H-GL",3,3
2018,"S-R",0,1
2018,"S-CL",8,19
2018,"S-T",1,0
2018,"S-LG",5,1
2018,"S-F",8,2
2018,"S-ACNR",12,1
2018,"S-GLT",3,0
2018,"H-E",0,0
2018,"S-PE",0,2
2018,"H-T",0,0
2018,"S-EH",0,0
2018,"H-HWI",0,1
2018,"H-PE",0,5
2018,"S-CJ",3,0
2018,"H-CJ",2,0
2018,"S-FA",0,0
2018,"S-CE",0,0
2018,"H-PS",0,0
2018,"H-CTI",0,0
2018,"S-GL",0,0
2019,"H-ACNR",11,10
2019,"H-R",1,6
2019,"H-CL",15,14
2019,"H-F",2,3
2019,"H-CCT",4,4
2019,"H-A",5,3
2019,"H-GL",2,3
2019,"S-R",0,0
2019,"S-CL",15,9
2019,"S-T",1,0
2019,"S-LG",4,1
2019,"S-F",3,1
2019,"S-ACNR",10,3
2019,"S-GLT",3,0
2019,"H-E",1,1
2019,"S-PE",0,0
2019,"H-T",1,0
2019,"S-EH",1,0
2019,"H-HWI",0,0
2019,"H-PE",0,0
2019,"S-CJ",1,0
2019,"H-CJ",1,0
2019,"S-FA",0,0
2019,"S-CE",0,0
2019,"H-PS",0,0
2019,"H-CTI",0,0
2019,"S-GL",0,0
2020,"H-ACNR",30,5
2020,"H-R",1,2
2020,"H-CL",32,10
2020,"H-F",1,4
2020,"H-CCT",3,0
2020,"H-A",3,8
2020,"H-GL",4,2
2020,"S-R",0,3
2020,"S-CL",23,4
2020,"S-T",1,0
2020,"S-LG",3,0
2020,"S-F",0,0
2020,"S-ACNR",18,3
2020,"S-GLT",7,2
2020,"H-E",2,0
2020,"S-PE",0,1
2020,"H-T",2,1
2020,"S-EH",1,0
2020,"H-HWI",0,0
2020,"H-PE",0,0
2020,"S-CJ",0,0
2020,"H-CJ",1,0
2020,"S-FA",5,0
2020,"S-CE",0,0
2020,"H-PS",0,0
2020,"H-CTI",1,0
2020,"S-GL",0,0
2021,"H-ACNR",15,1
2021,"H-R",2,2
2021,"H-CL",15,7
2021,"H-F",2,0
2021,"H-CCT",4,0
2021,"H-A",8,0
2021,"H-GL",4,0
2021,"S-R",2,1
2021,"S-CL",10,6
2021,"S-T",2,0
2021,"S-LG",4,0
2021,"S-F",0,0
2021,"S-ACNR",12,2
2021,"S-GLT",4,2
2021,"H-E",0,0
2021,"S-PE",6,3
2021,"H-T",1,0
2021,"S-EH",0,0
2021,"H-HWI",0,0
2021,"H-PE",6,8
2021,"S-CJ",0,0
2021,"H-CJ",0,0
2021,"S-FA",12,0
2021,"S-CE",0,0
2021,"H-PS",0,0
2021,"H-CTI",0,0
2021,"S-GL",1,0
2022,"H-ACNR",24,14
2022,"H-R",0,5
2022,"H-CL",19,9
2022,"H-F",1,1
2022,"H-CCT",3,6
2022,"H-A",4,8
2022,"H-GL",3,5
2022,"S-R",0,0
2022,"S-CL",11,5
2022,"S-T",7,1
2022,"S-LG",3,1
2022,"S-F",0,0
2022,"S-ACNR",21,5
2022,"S-GLT",4,0
2022,"H-E",1,1
2022,"S-PE",2,4
2022,"H-T",6,4
2022,"S-EH",2,0
2022,"H-HWI",1,1
2022,"H-PE",3,14
2022,"S-CJ",0,0
2022,"H-CJ",0,0
2022,"S-FA",16,4
2022,"S-CE",3,0
2022,"H-PS",1,1
2022,"H-CTI",0,0
2022,"S-GL",0,0
2023,"H-ACNR",11,5
2023,"H-R",1,2
2023,"H-CL",14,10
2023,"H-F",3,1
2023,"H-CCT",1,2
2023,"H-A",5,5
2023,"H-GL",1,2
2023,"S-R",4,1
2023,"S-CL",10,11
2023,"S-T",4,0
2023,"S-LG",3,1
2023,"S-F",0,0
2023,"S-ACNR",9,10
2023,"S-GLT",0,1
2023,"H-E",0,0
2023,"S-PE",0,0
2023,"H-T",3,0
2023,"S-EH",0,0
2023,"H-HWI",0,0
2023,"H-PE",0,1
2023,"S-CJ",0,0
2023,"H-CJ",0,0
2023,"S-FA",11,1
2023,"S-CE",0,0
2023,"H-PS",0,0
2023,"H-CTI",0,0
2023,"S-GL",0,0
