"Bill","Year","SC.Position","Dem.House","Dem.Senate","Com.1","Pass.Com.1","Pass.Floor.1","Pass.Com.2","Pass.Floor.2","Pass.Governor"
"HB2064",2019,3,0,0,2,0,0,0,0,0
"HB2070",2019,3,0,0,7,0,0,0,0,0
"HB2095",2019,3,0,0,3,0,0,0,0,0
"HB2105",2019,3,0,0,2,0,0,0,0,0
"HB2117",2019,3,0,0,5,0,0,0,0,0
"HB2146",2019,3,0,0,3,0,0,0,0,0
"HB2165",2019,3,0,0,7,0,0,0,0,0
"HB2175",2019,3,0,0,8,0,0,0,0,0
"HB2243",2019,3,0,0,1,0,0,0,0,0
"HB2292",2019,3,0,0,5,1,1,1,1,1
"HB2293",2019,3,0,0,5,1,1,1,1,1
"HB2294",2019,3,0,0,5,0,0,0,0,0
"HB2329",2019,3,0,0,5,0,0,0,0,0
"HB2330",2019,3,0,0,12,0,0,0,0,0
"HB2331",2019,3,0,0,12,0,0,0,0,0
"HB2332",2019,3,0,0,5,1,1,1,1,1
"HB2333",2019,3,0,0,3,0,0,0,0,0
"HB2358",2019,3,0,0,1,1,1,1,1,1
"HB2391",2019,3,0,0,2,0,0,0,0,0
"HB2395",2019,3,0,0,2,1,1,1,1,0
"HB2460",2019,3,0,0,7,0,0,0,0,0
"HB2495",2019,3,0,0,3,0,0,0,0,0
"HB2501",2019,3,0,0,5,0,0,0,0,0
"HB2503",2019,3,0,0,5,0,0,0,0,0
"HB2580",2019,3,0,0,2,0,0,0,0,0
"HB2621",2019,3,0,0,3,1,1,1,1,1
"HB2641",2019,3,0,0,5,0,0,0,0,0
"HB2680",2019,3,0,0,7,0,0,0,0,0
"HB2692",2019,3,0,0,5,0,0,0,0,0
"HB2696",2019,3,0,0,12,0,0,0,0,0
"HB2697",2019,3,0,0,5,0,0,0,0,0
"HB2735",2019,3,0,0,5,0,0,0,0,0
"HB2741",2019,3,0,0,5,1,1,1,1,1
"HB2762",2019,3,0,0,2,1,1,1,1,1
"HB2786",2019,3,0,0,2,1,1,1,1,1
"HB2789",2019,3,0,0,5,1,1,1,1,1
"SB1070",2019,3,0,0,19,0,0,0,0,0
"SB1091",2019,3,0,0,19,1,1,1,1,1
"SB1328",2019,3,0,0,14,1,1,0,0,0
"SB1355",2019,3,0,0,14,1,1,1,1,1
"SB1398",2019,3,0,0,21,0,0,0,0,0
"SB1400",2019,3,0,0,21,1,1,1,1,1
"SB1403",2019,3,0,0,16,1,1,1,1,0
"SB1414",2019,3,0,0,14,1,1,1,1,1
"SB1456",2019,3,0,0,17,0,0,0,0,0
"SB1460",2019,3,0,0,17,0,0,0,0,0
"SB1483",2019,3,0,0,17,0,0,0,0,0
"SB1534",2019,3,0,0,14,0,0,0,0,0
"SB1559",2019,3,0,0,21,1,1,1,1,1
"SB1573",2019,3,0,0,14,0,0,0,0,0
"SB1583",2019,3,0,0,17,0,0,0,0,0
"SB1584",2019,3,0,0,17,0,0,0,0,0
"SB1629",2019,3,0,0,18,1,1,0,0,0
"SB1666",2019,3,0,0,14,0,0,0,0,0
"SB1714",2019,3,0,0,17,0,0,0,0,0
"HJ620",2019,1,0,0,12,0,0,0,0,0
"HB1840",2019,1,0,0,5,1,1,1,1,1
"HB2103",2019,1,0,0,2,0,0,0,0,0
"HB2154",2019,1,0,0,2,0,0,0,0,0
"HB2240",2019,1,0,0,5,0,0,0,0,0
"HB2269",2019,1,0,0,2,1,1,1,1,0
"HB2506",2019,1,0,0,2,0,0,0,0,0
"HB2611",2019,1,0,0,2,1,1,1,1,0
"HB2738",2019,1,0,0,5,1,1,1,1,1
"SB1695",2019,1,0,0,17,1,1,1,1,1
"HJ656",2019,2,0,0,12,0,0,0,0,0
"HB1686",2019,2,0,0,5,0,0,0,0,0
"HB1718",2019,2,0,0,5,1,1,0,0,0
"HB1902",2019,2,0,0,1,0,0,0,0,0
"HB2361",2019,2,0,0,2,1,1,0,0,0
"HB2477",2019,2,0,0,5,1,1,1,1,1
"HB2500",2019,2,0,0,5,0,0,0,0,0
"HB2547",2019,2,0,0,5,1,1,1,1,1
"HB2792",2019,2,0,0,5,1,1,1,1,1
"SB1180",2019,2,0,0,20,1,1,1,1,1
"SB1271",2019,2,0,0,14,1,1,1,1,1
"SB1648",2019,2,0,0,17,0,0,0,0,0
"SB1769",2019,2,0,0,17,1,1,1,1,1
"SB1779",2019,2,0,0,17,1,1,1,1,1
"HJ61",2020,3,1,1,12,0,0,0,0,0
"HJ131 ",2020,3,1,1,12,0,0,0,0,0
"HJ136 ",2020,3,1,1,12,1,1,0,0,0
"HB75",2020,3,1,1,6,1,1,1,1,0
"HB77",2020,3,1,1,5,0,0,0,0,0
"HB167",2020,3,1,1,5,1,1,1,1,1
"HB414",2020,3,1,1,2,1,1,1,1,1
"HB443",2020,3,1,1,2,1,1,1,1,1
"HB511",2020,3,1,1,13,1,1,1,1,1
"HB525",2020,3,1,1,2,0,0,0,0,0
"HB528",2020,3,1,1,5,1,1,1,1,1
"HB572",2020,3,1,1,2,1,1,1,1,1
"HB577",2020,3,1,1,2,0,0,0,0,0
"HB633",2020,3,1,1,7,0,0,0,0,0
"HB643",2020,3,1,1,2,1,1,0,0,0
"HB644 ",2020,3,1,1,2,1,1,0,0,0
"HB646 ",2020,3,1,1,2,1,1,1,1,1
"HB654",2020,3,1,1,3,1,1,1,1,1
"HB656",2020,3,1,1,2,1,1,1,1,1
"HB672 ",2020,3,1,1,3,1,1,0,0,0
"HB704",2020,3,1,1,2,1,1,1,1,1
"HB706",2020,3,1,1,2,1,1,1,1,1
"HB714",2020,3,1,1,2,1,1,1,1,1
"HB717",2020,3,1,1,13,1,1,1,1,1
"HB751",2020,3,1,1,2,0,0,0,0,0
"HB754",2020,3,1,1,2,0,0,0,0,0
"HB794",2020,3,1,1,2,0,0,0,0,0
"HB805",2020,3,1,1,5,0,0,0,0,0
"HB858 ",2020,3,1,1,8,0,0,0,0,0
"HB868 ",2020,3,1,1,5,1,1,1,1,1
"HB889",2020,3,1,1,5,1,1,1,1,1
"HB912 ",2020,3,1,1,2,0,0,0,0,0
"HB947",2020,3,1,1,7,0,0,0,0,0
"HB959",2020,3,1,1,4,0,0,0,0,0
"HB981",2020,3,1,1,2,1,1,1,1,1
"HB1042",2020,3,1,1,8,1,1,1,1,1
"HB1067",2020,3,1,1,5,0,0,0,0,0
"HB1132",2020,3,1,1,5,1,1,0,0,0
"HB1133 ",2020,3,1,1,5,1,1,1,1,1
"HB1140 ",2020,3,1,1,6,0,0,0,0,0
"HB1184 ",2020,3,1,1,2,1,1,1,1,1
"HB1295 ",2020,3,1,1,7,0,0,0,0,0
"HB1298  ",2020,3,1,1,2,0,0,0,0,0
"HB1327  ",2020,3,1,1,7,1,1,1,1,1
"HB1450  ",2020,3,1,1,2,1,1,1,1,0
"HB1451  ",2020,3,1,1,2,1,1,1,1,0
"HB1526 ",2020,3,1,1,5,1,1,1,1,1
"HB1641  ",2020,3,1,1,2,1,1,1,1,1
"HB1642 ",2020,3,1,1,2,1,1,1,1,1
"HB1647  ",2020,3,1,1,5,1,1,1,1,1
"HB1707 ",2020,3,1,1,2,1,1,1,1,1
"SJ32 ",2020,3,1,1,23,0,0,0,0,0
"SJ56 ",2020,3,1,1,23,0,0,0,0,0
"SB25  ",2020,3,1,1,22,0,0,0,0,0
"SB94  ",2020,3,1,1,17,1,1,1,1,1
"SB106",2020,3,1,1,14,1,1,1,1,1
"SB320  ",2020,3,1,1,14,1,1,1,1,1
"SB354  ",2020,3,1,1,17,0,0,0,0,0
"SB376 ",2020,3,1,1,17,0,0,0,0,0
"SB379 ",2020,3,1,1,17,0,0,0,0,0
"SB406  ",2020,3,1,1,20,1,1,1,1,1
"SB542  ",2020,3,1,1,17,1,1,1,1,1
"SB628 ",2020,3,1,1,20,1,1,1,1,1
"SB629  ",2020,3,1,1,17,1,1,1,1,1
"SB630  ",2020,3,1,1,20,1,1,1,1,1
"SB634",2020,3,1,1,17,1,1,0,0,0
"SB710 ",2020,3,1,1,17,1,1,1,1,1
"SB731  ",2020,3,1,1,17,1,1,1,1,1
"SB795 ",2020,3,1,1,14,1,1,1,1,1
"SB797  ",2020,3,1,1,20,0,0,0,0,0
"SB883",2020,3,1,1,20,1,1,1,1,1
"SB911 ",2020,3,1,1,24,1,1,0,0,0
"SB1061 ",2020,3,1,1,20,0,0,0,0,0
"HB166  ",2020,1,1,1,3,1,1,1,1,1
"HB205 ",2020,1,1,1,2,0,0,0,0,0
"HB461  ",2020,1,1,1,7,0,0,0,0,0
"HB705 ",2020,1,1,1,2,0,0,0,0,0
"HB1170  ",2020,1,1,1,2,0,0,0,0,0
"HB1171 ",2020,1,1,1,2,0,0,0,0,0
"HB1360  ",2020,1,1,1,2,0,0,0,0,0
"HB1628  ",2020,1,1,1,5,0,0,0,0,0
"HB1629 ",2020,1,1,1,5,0,0,0,0,0
"HB1636  ",2020,1,1,1,2,1,0,0,0,0
"SB769  ",2020,1,1,1,14,1,1,0,0,0
"SB992 ",2020,1,1,1,14,0,1,0,0,0
"HB1607  ",2020,2,1,1,5,0,0,0,0,0
"HB1664 ",2020,2,1,1,5,1,1,1,1,1
"SB817  ",2020,2,1,1,17,1,1,1,1,1
"SB828 ",2020,2,1,1,17,1,1,1,1,1
"SB860  ",2020,2,1,1,17,1,1,1,1,1
"SB998 ",2020,2,1,1,17,1,1,1,1,1
"HJ539 ",2021,3,1,1,10,0,0,0,0,0
"HJ546 ",2021,3,1,1,10,0,0,0,0,0
"HJ556 ",2021,3,1,1,10,0,0,0,0,0
"HJ557",2021,3,1,1,10,0,0,0,0,0
"HJ559",2021,3,1,1,12,0,0,0,0,0
"HJ564 ",2021,3,1,1,12,0,0,0,0,0
"HB1755 ",2021,3,1,1,5,0,0,0,0,0
"HB1756 ",2021,3,1,1,10,0,0,0,0,0
"HB1811",2021,3,1,1,8,1,1,1,1,1
"HB1819 ",2021,3,1,1,2,1,1,1,1,1
"HB1834",2021,3,1,1,5,1,1,1,1,1
"HB1835 ",2021,3,1,1,5,0,0,0,0,0
"HB1888 ",2021,3,1,1,10,1,1,1,1,1
"HB1890  ",2021,3,1,1,10,1,1,1,1,1
"HB1902",2021,3,1,1,2,1,1,1,1,1
"HB1914 ",2021,3,1,1,5,1,1,0,0,0
"HB1919 ",2021,3,1,1,3,1,1,1,1,1
"HB1925",2021,3,1,1,5,1,1,1,1,1
"HB1933 ",2021,3,1,1,10,0,0,0,0,0
"HB1934",2021,3,1,1,5,0,0,0,0,0
"HB1937 ",2021,3,1,1,5,0,0,0,0,0
"HB1952 ",2021,3,1,1,10,1,1,1,0,0
"HB1958",2021,3,1,1,2,1,1,1,1,1
"HB1965 ",2021,3,1,1,2,1,1,1,1,1
"HB1978 ",2021,3,1,1,1,1,1,0,0,0
"HB1979 ",2021,3,1,1,7,1,1,1,1,1
"HB1984",2021,3,1,1,5,1,1,0,0,0
"HB2001 ",2021,3,1,1,8,1,1,1,1,1
"HB2030 ",2021,3,1,1,2,1,1,1,1,1
"HB2034 ",2021,3,1,1,5,1,1,1,1,1
"HB2042 ",2021,3,1,1,3,1,1,1,1,1
"HB2048 ",2021,3,1,1,5,1,1,0,0,0
"HB2049",2021,3,1,1,5,1,1,0,0,0
"HB2054",2021,3,1,1,3,1,1,1,1,1
"HB2068 ",2021,3,1,1,2,1,1,1,1,1
"HB2074 ",2021,3,1,1,2,1,1,1,1,0
"HB2118 ",2021,3,1,1,7,1,1,1,1,1
"HB2125",2021,3,1,1,10,1,1,1,1,1
"HB2159",2021,3,1,1,2,1,1,1,1,1
"HB2160 ",2021,3,1,1,5,1,1,0,0,0
"HB2200 ",2021,3,1,1,5,1,1,0,0,0
"HB2208",2021,3,1,1,12,1,1,1,1,1
"HB2213 ",2021,3,1,1,12,1,1,1,1,1
"HB2227 ",2021,3,1,1,8,1,1,1,1,1
"HB2262",2021,3,1,1,13,1,1,1,1,1
"HB2282 ",2021,3,1,1,5,1,1,1,1,1
"HB2292 ",2021,3,1,1,5,0,0,0,0,0
"HB2330 ",2021,3,1,1,5,1,1,1,1,1
"SB1097",2021,3,1,1,22,1,1,1,1,1
"SB1101 ",2021,3,1,1,22,0,0,0,0,0
"SB1186 ",2021,3,1,1,14,0,0,0,0,0
"SB1200 ",2021,3,1,1,14,0,0,0,0,0
"SB1223 ",2021,3,1,1,17,1,1,1,1,1
"SB1224 ",2021,3,1,1,20,0,0,0,0,0
"SB1236 ",2021,3,1,1,22,0,0,0,0,0
"SB1246 ",2021,3,1,1,22,1,1,0,0,0
"SB1263 ",2021,3,1,1,24,1,0,0,0,0
"SB1265 ",2021,3,1,1,14,1,1,1,1,1
"SB1274 ",2021,3,1,1,14,1,1,1,1,1
"SB1282 ",2021,3,1,1,19,1,1,1,1,1
"SB1284 ",2021,3,1,1,17,1,1,1,1,1
"SB1309 ",2021,3,1,1,21,1,1,1,1,1
"SB1311 ",2021,3,1,1,14,1,1,1,1,1
"SB1318 ",2021,3,1,1,20,1,1,1,1,0
"SB1319 ",2021,3,1,1,14,1,1,1,1,1
"SB1374 ",2021,3,1,1,14,1,1,1,1,1
"SB1395 ",2021,3,1,1,22,1,1,1,1,1
"HB2173 ",2021,1,1,1,2,0,0,0,0,0
"HB2205 ",2021,1,1,1,10,0,0,0,0,0
"HB2265 ",2021,1,1,1,5,0,0,0,0,0
"HB2281 ",2021,1,1,1,5,0,0,0,0,0
"SB1164 ",2021,1,1,1,14,1,1,1,1,1
"SB1380 ",2021,1,1,1,17,1,1,1,1,0
"SB1463 ",2021,1,1,1,20,0,0,0,0,0
"SB1295 ",2021,2,1,1,17,1,1,1,1,1
"SB13",2022,3,0,1,14,1,1,1,1,1
"SB45",2022,3,0,1,22,0,0,0,0,0
"SB141",2022,3,0,1,14,1,1,1,1,1
"SB158",2022,3,0,1,19,1,1,1,1,1
"SB160",2022,3,0,1,17,0,0,0,0,0
"SB161",2022,3,0,1,18,1,1,1,1,1
"SB213",2022,3,0,1,19,0,0,0,0,0
"SB251",2022,3,0,1,21,1,1,0,0,0
"SB272",2022,3,0,1,14,1,1,0,0,0
"SB278",2022,3,0,1,24,1,1,1,1,0
"SB281",2022,3,0,1,24,1,1,1,1,1
"SB290",2022,3,0,1,20,1,1,0,0,0
"SB292",2022,3,0,1,14,1,1,1,1,1
"SB342",2022,3,0,1,24,1,1,1,1,1
"SB347",2022,3,0,1,17,1,1,1,1,0
"SB452",2022,3,0,1,21,0,0,0,0,0
"SB482",2022,3,0,1,14,1,1,0,0,0
"SB488",2022,3,0,1,19,1,1,0,0,0
"SB505",2022,3,0,1,15,1,1,1,1,1
"SB551",2022,3,0,1,14,1,1,1,1,1
"SB575",2022,3,0,1,20,1,1,1,1,1
"SB660",2022,3,0,1,17,1,1,1,1,1
"SB708",2022,3,0,1,24,1,1,0,0,0
"SB762",2022,3,0,1,17,0,0,0,0,0
"SJ1",2022,3,0,1,22,1,1,0,0,0
"SJ5",2022,3,0,1,22,1,1,0,0,0
"HB28",2022,3,0,1,2,1,1,1,1,1
"HB49",2022,3,0,1,2,1,1,1,1,1
"HB71",2022,3,0,1,10,0,0,0,0,0
"HB141",2022,3,0,1,2,1,1,1,1,1
"HB142",2022,3,0,1,13,1,1,1,1,1
"HB206",2022,2,0,1,2,1,1,1,1,1
"HB250",2022,3,0,1,12,0,0,0,0,0
"HB311",2022,3,0,1,2,0,0,0,0,0
"HB314",2022,3,0,1,2,1,1,1,1,1
"HB351",2022,3,0,1,2,0,0,0,0,0
"HB364",2022,3,0,1,3,0,0,0,0,0
"HB379",2022,3,0,1,5,0,0,0,0,0
"HB393",2022,3,0,1,2,0,0,0,0,0
"HB396",2022,3,0,1,5,1,1,1,1,1
"HB443",2022,3,0,1,5,1,1,1,1,1
"HB450",2022,3,0,1,13,1,1,1,1,1
"HB463",2022,3,0,1,2,1,1,1,1,1
"HB471",2022,3,0,1,8,0,0,0,0,0
"HB491",2022,3,0,1,2,0,0,0,0,0
"HB508",2022,3,0,1,2,0,0,0,0,0
"HB516",2022,3,0,1,2,1,1,1,1,1
"HB517",2022,3,0,1,11,1,1,1,1,1
"HB520",2022,3,0,1,3,0,0,0,0,0
"HB633",2022,3,0,1,13,0,0,0,0,0
"HB635",2022,3,0,1,3,0,0,0,0,0
"HB636",2022,3,0,1,6,0,0,0,0,0
"HB641",2022,3,0,1,13,1,1,1,1,1
"HB647",2022,3,0,1,2,0,0,0,0,0
"HB648",2022,3,0,1,3,1,1,1,1,1
"HB664",2022,3,0,1,5,0,0,0,0,0
"HB701",2022,3,0,1,8,0,0,0,0,0
"HB708",2022,3,0,1,1,0,0,0,0,0
"HB723",2022,3,0,1,5,0,0,0,0,0
"HB724",2022,3,0,1,5,0,0,0,0,0
"HB795",2022,3,0,1,10,0,0,0,0,0
"HB796",2022,3,0,1,10,0,0,0,0,0
"HB826",2022,3,0,1,2,0,0,0,0,0
"HB832",2022,3,0,1,5,0,0,0,0,0
"HB845",2022,3,0,1,2,0,0,0,0,0
"HB949",2022,3,0,1,2,0,0,0,0,0
"HB959",2022,3,0,1,2,0,0,0,0,0
"HB965",2022,3,0,1,7,0,0,0,0,0
"HB973",2022,3,0,1,10,0,0,0,0,0
"HB974",2022,3,0,1,10,0,0,0,0,0
"HB975",2022,3,0,1,13,0,0,0,0,0
"HB998",2022,3,0,1,3,0,0,0,0,0
"HB999",2022,3,0,1,8,0,0,0,0,0
"HB1011",2022,3,0,1,9,0,0,0,0,0
"HB1029",2022,3,0,1,2,0,0,0,0,0
"HB1054",2022,3,0,1,11,0,0,0,0,0
"HB1171",2022,3,0,1,5,0,0,0,0,0
"HB1200",2022,3,0,1,2,0,0,0,0,0
"HB1223",2022,3,0,1,2,1,1,1,1,1
"HB1225",2022,3,0,1,2,1,1,1,1,1
"HB1228",2022,3,0,1,2,0,0,0,0,0
"HB1276",2022,3,0,1,3,0,0,0,0,0
"HB1288",2022,3,0,1,5,0,0,0,0,0
"HB1355",2022,3,0,1,5,0,0,0,0,0
"HB1337",2022,3,0,1,3,0,0,0,0,0
"HJ33",2022,3,0,1,12,0,0,0,0,0
"HJ71",2022,3,0,1,12,0,0,0,0,0
"HJ76",2022,3,0,1,12,0,0,0,0,0
"SB81",2022,1,0,1,14,0,0,0,0,0
"SB116",2022,1,0,1,24,0,0,0,0,0
"SB120",2022,1,0,1,17,1,1,1,1,1
"SB398",2022,1,0,1,14,0,0,0,0,0
"SB532",2022,1,0,1,14,0,0,0,0,0
"SB565",2022,1,0,1,14,1,1,1,1,1
"SB629",2022,1,0,1,14,1,1,1,1,1
"SB657",2022,1,0,1,14,1,1,1,1,1
"SB695",2022,1,0,1,14,0,0,0,0,0
"HB5",2022,1,0,1,2,0,0,0,0,0
"HB24",2022,1,0,1,10,0,0,0,0,0
"HB34",2022,1,0,1,10,1,1,0,0,0
"HB35",2022,1,0,1,10,0,0,0,0,0
"HB46 ",2022,1,0,1,10,1,1,0,0,0
"HB73",2022,1,0,1,5,1,1,0,0,0
"HB74",2022,1,0,1,5,1,1,0,0,0
"HB118",2022,1,0,1,5,1,1,0,0,0
"HB121",2022,1,0,1,10,0,0,0,0,0
"HB172",2022,1,0,1,5,0,0,0,0,0
"HB202",2022,1,0,1,2,0,0,0,0,0
"HB208",2022,1,0,1,8,0,0,0,0,0
"HB266",2022,1,0,1,5,1,1,1,1,1
"HB329",2022,1,0,1,8,0,0,0,0,0
"HB558",2022,1,0,1,5,1,1,1,1,1
"HB656",2022,1,0,1,7,0,0,0,0,0
"HB657",2022,1,0,1,5,1,1,1,1,1
"HB839",2022,1,0,1,5,0,0,0,0,0
"HB847",2022,1,0,1,8,1,1,0,0,0
"HB892",2022,1,0,1,5,1,1,0,0,0
"HB894",2022,1,0,1,5,1,1,1,1,1
"HB919",2022,1,0,1,9,1,1,1,1,1
"HB941",2022,1,0,1,10,0,0,0,0,0
"HB942",2022,1,0,1,10,0,0,0,0,0
"HB956",2022,1,0,1,10,0,0,0,0,0
"HB1090",2022,1,0,1,10,1,1,0,0,0
"HB1141",2022,1,0,1,10,0,0,0,0,0
"HB1204",2022,1,0,1,5,1,1,1,1,1
"HB1257",2022,1,0,1,5,1,1,1,0,0
"HB1261",2022,1,0,1,2,1,1,1,0,0
"HB1267",2022,1,0,1,2,1,1,0,0,0
"HB1301",2022,1,0,1,2,1,1,0,0,0
"HB1326",2022,1,0,1,5,1,1,1,1,1
"HJ3",2022,1,0,1,12,0,0,0,0,0
