Committee,Year,Chair,
H-A,2022,Barry D. Knight,
H-ACNR,2022,R. Lee Ware,
H-CCT,2022,M. Keith Hodges,
H-CJ,2022,Robert B. Bell,
H-LC,2022,Kathy J. Byron,
H-CTI,2022,Emily M. Brewer,
H-E,2022,Glenn R. Davis,
H-F,2022,Roxann L. Robinson,
H-GL,2022,"James A. ""Jay"" Leftwich",
H-HWI,2022,"Robert D. Orrock, Sr.",
H-PE,2022,Margaret B. Ransone,
H-R,2022,C. Todd Gilbert,
H-T,2022,Terry L. Austin,
S-ACNR ,2022,J. Chapman Petersen,
S-CJ,2022,,
S-CL,2022,Richard L. Saslaw,
S-EH,2022,L. Louise Lucas,
*S-FA,2022,Janet D. Howell,
S-GLT ,2022,George L. Barker,
S-J ,2022,John S. Edwards,R. Creigh Deeds
S-LG,2022,"Lynwood W. Lewis, Jr.",
S-PE,2022,Adam P. Ebbin,
S-R,2022,Mamie E. Locke,
S-T,2022,David W. Marsden,
H-A,2021,Luke E. Torian,
H-ACNR,2021,Kenneth R. Plum,
H-CCT,2021,Kaye Kory,
H-CJ,2021,Charniele L. Herring,
H-LC,2021,Jeion A. Ward,
H-CTI,2021,"C.E. Cliff Hayes, Jr.",
H-E,2021,Roslyn C. Tyler,
H-F,2021,Vivian E. Watts,
H-GL,2021,David L. Bulova,
H-HWI,2021,Mark D. Sickles,
H-PE,2021,Marcus B. Simon,
H-R,2021,Eileen Filler-Corn,
H-T,2021,Delores L. McQuinn,
S-ACNR ,2021,J. Chapman Petersen,
S-CJ,2021,,
S-CL,2021,Richard L. Saslaw,
S-EH,2021,L. Louise Lucas,
*S-FA,2021,Janet D. Howell,
S-GLT ,2021,George L. Barker,
S-J ,2021,John S. Edwards,
S-LG,2021,"Lynwood W. Lewis, Jr.",
S-PE,2021,R. Creigh Deeds,
S-R,2021,Mamie E. Locke,
S-T,2021,David W. Marsden,
H-A,2020,Luke E. Torian,
H-ACNR,2020,Kenneth R. Plum,
H-CCT,2020,Kaye Kory,
H-CJ,2020,Charniele L. Herring,
H-LC,2020,Jeion A. Ward,
H-CTI,2020,"C.E. Cliff Hayes, Jr.",
H-E,2020,Roslyn C. Tyler,
H-F,2020,Vivian E. Watts,
H-GL,2020,David L. Bulova,
H-HWI,2020,Mark D. Sickles,
H-PE,2020,R. Creigh Deeds,
H-R,2020,Eileen Filler-Corn,
H-T,2020,David W. Marsden,
S-ACNR ,2020,J. Chapman Petersen,
S-CJ,2020,,
S-CL,2020,Richard L. Saslaw,
S-EH,2020,L. Louise Lucas,
*S-FA,2020,Janet D. Howell,
S-GLT ,2020,George L. Barker,
S-J ,2020,John S. Edwards,
S-LG,2020,"Lynwood W. Lewis, Jr.",
S-PE,2020,R. Creigh Deeds,
S-R,2020,Mamie E. Locke,
S-T,2020,David W. Marsden,
H-A,2019,S. Chris Jones,
H-ACNR,2019,"Daniel W. Marshall, III",
H-CCT,2019,Riley E. Ingram,
H-CJ,2019,Robert B. Bell,
H-CL,2019,Terry G. Kilgore,
H-CTI,2019,,
H-E,2019,R. Steven Landes,
H-F,2019,R. Lee Ware,
H-GL,2019,Christopher K. Peace,
H-HWI,2019,"Robert Dr. Orrock, Sr.",
H-PE,2019,Mark L. Cole,
H-R,2019,M. Kirkland Cox,
H-T,2019,David E. Yancey,
S-ACNR ,2019,Richard H. Stuart,
S-CJ,2019,Mark D. Obenshain,
S-CL,2019,Frank W. Wagner,
S-EH,2019,Stephen D. Newman,
S-F,2019,Thomas K. Norment Jr.,Emmet W. Hanger Jr.
S-GLT ,2019,"Frank W. Ruff, Jr.",
S-J ,2019,,
S-LG,2019,"William M. Stanley, Jr.",
S-PE,2019,Jill Holtzman Vogel,
S-R,2019,Ryan T. McDougle,
S-T,2019,"Charles W. Carrico, Sr.",
H-A,2018,Chris Jones,
H-ACNR,2018,Daniel W. Marshall,
H-CCT,2018,Riley E. Ingram,
H-CJ,2018,Robert B. Bell,
H-CL,2018,Terry G. Kilgore,
H-CTI,2018,,
H-E,2018,R. Steven Landes,
H-F,2018,R. Lee Ware,
H-GL,2018,Christopher K. Peace,
H-HWI,2018,Robert D. Orrock,
H-PE,2018,Mark L. Cole,
H-R,2018,M. Kirkland Cox,
H-T,2018,David E. Yancey,
S-ACNR ,2018,Richard H. Stuart,
S-CJ,2018,Mark D. Obenshain,
S-CL,2018,Frank W. Wagner,
S-EH,2018,Stephen D. Newman,
S-F,2018,Thomas K. Norment,
S-GLT ,2018,Frank M. Ruff Jr.,
S-J ,2018,,
S-LG,2018,William M. Stanley Jr.,
S-PE,2018,Jill Holtzman Vogel,
S-R,2018,Ryan T. McDougle,
S-T,2018,"Charles W. Carrico, Sr.",
H-A,2017,,
H-ACNR,2017,,
H-CCT,2017,,
H-CJ,2017,,
H-CL,2017,,
H-CTI,2017,,
H-E,2017,,
H-F,2017,,
H-GL,2017,,
H-HWI,2017,,
H-PE,2017,,
H-R,2017,,
H-T,2017,,
S-ACNR ,2017,,
S-CJ,2017,,
S-CL,2017,,
S-EH,2017,,
S-F,2017,,
S-GLT ,2017,,
S-J ,2017,,
S-LG,2017,,
S-PE,2017,,
S-R,2017,,
S-T,2017,,
H-A,2016,,
H-ACNR,2016,,
H-CCT,2016,,
H-CJ,2016,,
H-CL,2016,,
H-CTI,2016,,
H-E,2016,,
H-F,2016,,
H-GL,2016,,
H-HWI,2016,,
H-PE,2016,,
H-R,2016,,
H-T,2016,,
S-ACNR ,2016,,
S-CJ,2016,,
S-CL,2016,,
S-EH,2016,,
S-F,2016,,
S-GLT ,2016,,
S-J ,2016,,
S-LG,2016,,
S-PE,2016,,
S-R,2016,,
S-T,2016,,
H-A,2015,,
H-ACNR,2015,,
H-CCT,2015,,
H-CJ,2015,,
H-CL,2015,,
H-CTI,2015,,
H-E,2015,,
H-F,2015,,
H-GL,2015,,
H-HWI,2015,,
H-PE,2015,,
H-R,2015,,
H-T,2015,,
S-ACNR ,2015,,
S-CJ,2015,,
S-CL,2015,,
S-EH,2015,,
S-F,2015,,
S-GLT ,2015,,
S-J ,2015,,
S-LG,2015,,
S-PE,2015,,
S-R,2015,,
S-T,2015,,